timestamp, utilization.gpu [%], utilization.memory [%]
2017/07/31 05:37:58.789, 0, 0
2017/07/31 05:37:59.790, 0, 0
2017/07/31 05:38:00.790, 99, 45
2017/07/31 05:38:01.790, 0, 0
2017/07/31 05:38:02.790, 0, 0
2017/07/31 05:38:03.790, 0, 0
2017/07/31 05:38:04.791, 80, 25
2017/07/31 05:38:05.791, 0, 0
2017/07/31 05:38:06.791, 65, 6
2017/07/31 05:38:07.791, 0, 0
2017/07/31 05:38:08.791, 0, 0
2017/07/31 05:38:09.792, 0, 0
2017/07/31 05:38:10.792, 0, 0
2017/07/31 05:38:11.792, 64, 30
2017/07/31 05:38:12.792, 0, 0
2017/07/31 05:38:13.792, 0, 0
2017/07/31 05:38:14.792, 0, 0
2017/07/31 05:38:15.793, 98, 45
2017/07/31 05:38:16.793, 0, 0
2017/07/31 05:38:17.793, 97, 48
2017/07/31 05:38:18.793, 0, 0
2017/07/31 05:38:19.793, 0, 0
2017/07/31 05:38:20.794, 0, 0
2017/07/31 05:38:21.794, 28, 1
2017/07/31 05:38:22.794, 0, 0
2017/07/31 05:38:23.794, 0, 0
2017/07/31 05:38:24.794, 0, 0
2017/07/31 05:38:25.795, 0, 0
2017/07/31 05:38:26.795, 99, 45
2017/07/31 05:38:27.795, 0, 0
2017/07/31 05:38:28.795, 0, 0
2017/07/31 05:38:29.795, 0, 0
2017/07/31 05:38:30.796, 99, 52
2017/07/31 05:38:31.796, 0, 0
2017/07/31 05:38:32.796, 0, 0
2017/07/31 05:38:33.796, 0, 0
2017/07/31 05:38:34.796, 0, 0
2017/07/31 05:38:35.797, 99, 43
2017/07/31 05:38:36.797, 0, 0
2017/07/31 05:38:37.797, 0, 0
2017/07/31 05:38:38.797, 0, 0
2017/07/31 05:38:39.798, 80, 14
2017/07/31 05:38:40.798, 0, 0
2017/07/31 05:38:41.798, 0, 0
2017/07/31 05:38:42.798, 0, 0
2017/07/31 05:38:43.799, 0, 0
2017/07/31 05:38:44.799, 99, 43
2017/07/31 05:38:45.799, 0, 0
2017/07/31 05:38:46.799, 0, 0
2017/07/31 05:38:47.799, 0, 0
2017/07/31 05:38:48.800, 0, 0
2017/07/31 05:38:49.800, 99, 42
2017/07/31 05:38:50.800, 0, 0
2017/07/31 05:38:51.800, 0, 0
2017/07/31 05:38:52.800, 0, 0
2017/07/31 05:38:53.800, 0, 0
2017/07/31 05:38:54.801, 98, 43
2017/07/31 05:38:55.801, 0, 0
2017/07/31 05:38:56.801, 0, 0
2017/07/31 05:38:57.801, 0, 0
2017/07/31 05:38:58.801, 0, 0
2017/07/31 05:38:59.802, 99, 46
2017/07/31 05:39:00.802, 0, 0
2017/07/31 05:39:01.802, 1, 0
2017/07/31 05:39:02.802, 0, 0
2017/07/31 05:39:03.802, 99, 50
2017/07/31 05:39:04.803, 0, 0
2017/07/31 05:39:05.803, 0, 0
2017/07/31 05:39:06.803, 0, 0
2017/07/31 05:39:07.803, 0, 0
2017/07/31 05:39:08.803, 70, 32
2017/07/31 05:39:09.804, 0, 0
2017/07/31 05:39:10.804, 0, 0
2017/07/31 05:39:11.805, 0, 0
2017/07/31 05:39:12.805, 98, 43
2017/07/31 05:39:13.805, 0, 0
2017/07/31 05:39:14.805, 0, 0
2017/07/31 05:39:15.805, 0, 0
2017/07/31 05:39:16.806, 0, 0
2017/07/31 05:39:17.806, 36, 16
2017/07/31 05:39:18.806, 0, 0
2017/07/31 05:39:19.806, 0, 0
